LLM,SLM,Precision,Recall,F1-Score,BMASS
LLAMA3,bge-m3,0.762384811,0.733882588,0.746396924,0.753926263
LLAMA3,sentence-t5-large,0.730248664,0.703602592,0.715239511,0.739782924
LLAMA3,,0.471583034,0.449440922,0.458825278,0.571415054
GPT - 3.5,bge-m3,0.536401538,0.417717714,0.460285214,0.447435123
GPT - 3.5,sentence-t5-large,0.522246424,0.407901042,0.448904218,0.437403692
GPT - 3.5,,0.363971998,0.287294585,0.314588553,0.344189454
GPT - 4o,bge-m3,0.494866906,0.493138375,0.493812621,0.658556389
GPT - 4o,sentence-t5-large,0.502656197,0.500927666,0.501667,0.667721926
GPT - 4o,,0.449163213,0.44741626,0.448157897,0.632951867
